pfas,cas_rn_s,mean_concentration_ng_g
10:2 FTAc,17741-60-5,331.276
10:2 FTOH,865-86-1,527.479
4:2 FTS,"414911-30-1

757124-72-4",0.492
5:3 FTCA,"914637-49-3

1799325-94-2",61.876
6:2 FTCA,56773-42-3,16.250
6:2 FTOH,647-42-7,"5,039.478"
6:2 FTS,"27619-97-2

425670-75-3",17.064
8:2 FTAc,27905-45-9,444.645
8:2 FTOH,678-39-7,713.858
8:2 FTS,"39108-34-4

481071-78-7

149724-40-3

27619-96-1",12.508
8:2 FTUCA,70887-84-2,1.240
FBSA,30334-69-1,11.030
FOSA,754-91-6,0.217
N-EtFOSA,"4151-50-2

2991-50-6",0.510
N-EtFOSE,1691-99-2,"5,194.845"
N-MeFOSA,31506-32-8,23.439
N-MeFOSAA,2355-31-9,2.334
N-MeFOSE,24448-09-7,186.088
PFBA,"375-22-4

45048-62-2

2218-54-4",883.971
PFBS,"375-73-5

45187-15-3

68259-10-9",142.558
PFDA,"3830-45-3

73829-36-4

335-76-2",45.888
PFDoDA,"307-55-1

307-67-5",45.223
PFDS,"335-77-3

126105-34-8",2.147
PFHpA,"20109-59-5

21049-36-5

375-85-9

6130-43-4",73.585
PFHpS,"21934-50-9

375-92-8

146689-46-5",2.843
PFHxA,"21615-47-4

307-24-4

92612-52-7",74.877
PFHxDA,67905-19-5,6.904
PFHxS,"108427-53-8

355-46-4

3871-99-6",34.233
PFNA,"375-95-1

72007-68-2",53.914
PFNS,"474511-07-4

68259-12-1

98789-57-2",0.192
PFOA,"335-67-1

335-95-5

45285-51-6",76.808
PFOS,"45298-90-6

1763-23-1

2795-39-3",38.132
PFPeA,"45167-47-3

68259-11-0

2706-90-3",59.944
PFTeDA,"365971-87-5

376-06-7",85.753
PFTrDA,"72629-94-8

862374-87-6",34.884
PFUnDA,"2058-94-8

60871-96-7",49.172
